Level,School,Region,Regional_Wages,Program,Residents,Wages,Sample Cohort,,
Community,Genesee Community,Finger Lakes,"31,621",Education,0,0,0,,
Community,Genesee Community,Finger Lakes,"31,621",Computers and Math,0,0,0,,
Community,Genesee Community,Finger Lakes,"31,621",Business and Finance,71.6,37869,82,,
Community,Genesee Community,Finger Lakes,"31,621",Protective Services,76,42670,43,,
Community,Genesee Community,Finger Lakes,"31,621",Health,79.8,51513,143,,
Community,Monroe Community,Finger Lakes,"31,621",Agriculture,75.8,58662,280,,
Community,Monroe Community,Finger Lakes,"31,621",Art,64.8,36556,52,,
Community,Monroe Community,Finger Lakes,"31,621",Technical trades,63.9,43053,14,,
Community,Monroe Community,Finger Lakes,"31,621",Communications and Media,72.3,38712,29,,
Community,Monroe Community,Finger Lakes,"31,621",Law and Public Service,65.9,47443,25,,
Community,Monroe Community,Finger Lakes,"31,621",Engineering,0,0,0,,
Community,Monroe Community,Finger Lakes,"31,621",Social Services,77.6,36035,27,,
Community,Monroe Community,Finger Lakes,"31,621",Hospitality,0,0,0,,
Community,Monroe Community,Finger Lakes,"31,621",Education,0,0,0,,
Community,Monroe Community,Finger Lakes,"31,621",Computers and Math,74.1,71954,19,,
Community,Monroe Community,Finger Lakes,"31,621",Business and Finance,67.3,42938,223,,
Community,Monroe Community,Finger Lakes,"31,621",Protective Services,81.8,53992,80,,
Community,Monroe Community,Finger Lakes,"31,621",Health,75.8,58662,280,,
Community,Finger Lakes Community,Finger Lakes,"31,621",Agriculture,60,43128,13,,
Community,Finger Lakes Community,Finger Lakes,"31,621",Art,56.1,28741,18,,
Community,Finger Lakes Community,Finger Lakes,"31,621",Technical trades,59.3,37524,11,,
Community,Finger Lakes Community,Finger Lakes,"31,621",Communications and Media,66.7,28790,11,,
Community,Finger Lakes Community,Finger Lakes,"31,621",Law and Public Service,83.3,48070,16,,
Community,Finger Lakes Community,Finger Lakes,"31,621",Engineering,0,0,0,,
Community,Finger Lakes Community,Finger Lakes,"31,621",Social Services,0,0,0,,
Community,Finger Lakes Community,Finger Lakes,"31,621",Hospitality,0,0,0,,
Community,Finger Lakes Community,Finger Lakes,"31,621",Education,0,0,0,,
Community,Finger Lakes Community,Finger Lakes,"31,621",Computers and Math,72,49666,16,,
Community,Finger Lakes Community,Finger Lakes,"31,621",Business and Finance,77.3,38790,76,,
Community,Finger Lakes Community,Finger Lakes,"31,621",Protective Services,73.3,40470,28,,
Community,Finger Lakes Community,Finger Lakes,"31,621",Health,73.2,57631,87,,
Community,Sullivan County,Hudson Valley,"36,329",Agriculture,0,0,0,,
Community,Sullivan County,Hudson Valley,"36,329",Art,0,0,0,,
Community,Sullivan County,Hudson Valley,"36,329",Technical trades,0,0,0,,
Community,Sullivan County,Hudson Valley,"36,329",Communications and Media,0,0,0,,
Community,Sullivan County,Hudson Valley,"36,329",Law and Public Service,0,0,0,,
Community,Sullivan County,Hudson Valley,"36,329",Engineering,0,0,0,,
Community,Sullivan County,Hudson Valley,"36,329",Social Services,0,0,0,,
Community,Sullivan County,Hudson Valley,"36,329",Hospitality,0,0,0,,
Community,Sullivan County,Hudson Valley,"36,329",Education,0,0,0,,
